Topic,Count,Name,Representation,Representative_Docs
9,63,9_都市报_西海_微博_航拍,"['都市报', '西海', '微博', '航拍', '破裂', '地表', '视频', '石化', '官方', '直击']","['青海 门源 6.9 级 地震 \xa0 航拍 视频 | 直击 门源 6.9 级 地震 地表 破裂 带 \xa0 地震 微 科普 \xa0 西海 都市报 官方 微博 微博 视频 \xa0 L 西海 都市报 官方 微博 微博 视频 \u200b \u200b \u200b', '青海 ## 青海 门源 地震 航拍 视频 | 直击 门源 6.9 级 地震 地表 破裂 带 L 西海 都市报 官方 微博 微博 视频 \u200b', '青海 ## 青海 门源 地震 航拍 视频 | 直击 门源 6.9 级 地震 地表 破裂 带 L 西海 都市报 官方 微博 微博 视频 \u200b \u200b \u200b']"
10,62,10_西宁市_逃犯_136_避险,"['西宁市', '逃犯', '136', '避险', '城北', '追逃', '公安分局', '年前', '摇醒', '诈骗']","['青海 6.9 级 地震 震出 年 逃犯 月 日 时 45 分 青海省 海北 州 门源 县 发生 6.9 级 地震 地震 震中 西宁市 136 公里 地震 摇醒 西宁 市民 纷纷 街头 避险 西宁市 公安局 城北 公安分局 民警 响应 出 街 巡逻 竟 避险 人群 中 发现 一名 年前 诈骗 网上 追逃 逃犯 抓获 \u200b', '青海 6.9 级 地震 震出 年 逃犯 月 日 时 45 分 青海省 海北 州 门源 县 发生 6.9 级 地震 地震 震中 西宁市 136 公里 地震 摇醒 西宁 市民 纷纷 街头 避险 西宁市 公安局 城北 公安分局 民警 响应 出 街 巡逻 竟 避险 人群 中 发现 一名 年前 诈骗 网上 追逃 逃犯 抓获', '青海 6.9 级 地震 震出 年 逃犯 月 日 时 45 分 青海省 海北 州 门源 县 发生 6.9 级 地震 地震 震中 西宁市 136 公里 地震 摇醒 西宁 市民 纷纷 街头 避险 西宁市 公安局 城北 公安分局 民警 响应 出 街 巡逻 竟 避险 人群 中 发现 一名 年前 诈骗 网上 追逃 逃犯 抓获 \u200b']"
11,62,11_疾控中心_病毒_高发_感染者,"['疾控中心', '病毒', '高发', '感染者', '河南省', '新冠', '提示', '国内', '报告', '肺炎']","['青海 ## 紧急 提醒 ## 疫情 防控 青海省 疾控中心 紧急 提醒 青海 疾控 紧急 提醒 天津市 河南省 安阳市 报告 多例 新冠 肺炎 确诊 病例 请 提高 防控 意识 做好 防护 国外 新冠 病毒 肺炎 疫情 高发 国内 疫情 呈现 多点 散发 局部 聚集 态势 特别 天津 河南 安阳 报告 新冠 病毒 变异 株 奥密克戎 感染者 两地 \u200b', '青海省 疾控中心 紧急 提醒 天津市 河南省 安阳市 报告 多例 新冠 肺炎 确诊 病例 请 提高 防控 意识 做好 防护 疫情 防控 国外 新冠 病毒 肺炎 疫情 高发 国内 疫情 呈现 多点 散发 局部 聚集 态势 特别 天津 河南 安阳 报告 新冠 病毒 变异 株 奥密克戎 感染者 两地 病例 属 传播 链 天津 病例 至少 \u200b', '青海省 疾控中心 紧急 提醒 天津市 河南省 安阳市 报告 多例 新冠 肺炎 确诊 病例 请 提高 防控 意识 做好 防护 国外 新冠 病毒 肺炎 疫情 高发 国内 疫情 呈现 多点 散发 局部 聚集 态势 特别 天津 河南 安阳 报告 新冠 病毒 变异 株 奥密克戎 感染者 两地 病例 属 传播 链 天津 病例 至少 社区 传播 \u200b']"
12,61,12_央企_周密_突发事件_高度重视,"['央企', '周密', '突发事件', '高度重视', 'ii', '联通', '成立', '赶往', '队伍', '通信']","['抗震救灾 央企 月 日 时 45 分 青海省 海北藏族自治州 门源 县 发生 6.9 级 地震 震源 深度 10 公里 灾情 发生 青海 联通 高度重视 周密 组织 启动 突发事件 II 级 预案 第一 时间 成立 保障 队伍 赶往 现场 通信 保障 视频 报道 责任 央企 L 中国联通 微博 视频 \u200b \u200b \u200b', '抗震救灾 央企 月 日 时 45 分 青海省 海北藏族自治州 门源 县 发生 6.9 级 地震 震源 深度 10 公里 灾情 发生 青海 联通 高度重视 周密 组织 启动 突发事件 II 级 预案 第一 时间 成立 保障 队伍 赶往 现场 通信 保障 视频 报道 责任 央企 L 中国联通 微博 视频 \u200b \u200b \u200b', '抗震救灾 央企 月 日 时 45 分 青海省 海北藏族自治州 门源 县 发生 6.9 级 地震 震源 深度 10 公里 灾情 发生 青海 联通 高度重视 周密 组织 启动 突发事件 II 级 预案 第一 时间 成立 保障 队伍 赶往 现场 通信 保障 视频 报道 责任 央企 L 中国联通 微博 视频 \u200b \u200b \u200b']"
13,60,13_巴基斯坦_来源于_航班_毒株,"['巴基斯坦', '来源于', '航班', '毒株', '来源不明', '德尔塔', '下旬', '难点', '时值', '春节前夕']","['专家 解读 西安 本轮 疫情 处置 难点 陕西 西安 本轮 疫情 来源于 巴基斯坦 航班 输入 德尔塔 毒株 2021 年 12 月 下旬 西安 27 街道 病例 来源不明 多个 街道 小区 聚集 性 疫情 发生 社区 传播 扩散 趋势 几个 省份 报告 发现 西安 外溢 病例 时值 春节前夕 做好 本土 疫情 防控 \u200b', '专家 解读 西安 本轮 疫情 处置 难点 陕西 西安 本轮 疫情 来源于 巴基斯坦 航班 输入 德尔塔 毒株 2021 年 12 月 下旬 西安 27 街道 病例 来源不明 多个 街道 小区 聚集 性 疫情 发生 社区 传播 扩散 趋势 几个 省份 报告 发现 西安 外溢 病例 时值 春节前夕 做好 本土 疫情 防控 \u200b', '专家 解读 西安 本轮 疫情 处置 难点 陕西 西安 本轮 疫情 来源于 巴基斯坦 航班 输入 德尔塔 毒株 2021 年 12 月 下旬 西安 27 街道 病例 来源不明 多个 街道 小区 聚集 性 疫情 发生 社区 传播 扩散 趋势 几个 省份 报告 发现 西安 外溢 病例 时值 春节前夕 做好 本土 疫情 防控 \u200b']"
14,59,14_汉中_高铁_回家_可分,"['汉中', '高铁', '回家', '可分', '专属', '发布公告', '直达', '路途', '错峰', '批次']","['回家 陕西 大学 包 高铁 送 学生 回家 月 12 日 陕西 汉中 陕西 理工大学 发布公告 称 学生 月 15 日起 便 可分 批次 错峰 有序 回家 做好 疫情 防控 工作 确保 学生 离校 路途 中 学校 汉中 高铁 站 协调 开通 汉中 西安 学校 专列 一站 直达 安排 专属 爱心 大巴 送 学生 前往 高铁 站 \u200b', '回家 陕西 大学 包 高铁 送 学生 回家 月 12 日 陕西 汉中 陕西 理工大学 发布公告 称 学生 月 15 日起 便 可分 批次 错峰 有序 回家 做好 疫情 防控 工作 确保 学生 离校 路途 中 学校 汉中 高铁 站 协调 开通 汉中 西安 学校 专列 一站 直达 安排 专属 爱心 大巴 送 学生 前往 高铁 站 \u200b', '回家 陕西 大学 包 高铁 送 学生 回家 月 12 日 陕西 汉中 陕西 理工大学 发布公告 称 学生 月 15 日起 便 可分 批次 错峰 有序 回家 做好 疫情 防控 工作 确保 学生 离校 路途 中 学校 汉中 高铁 站 协调 开通 汉中 西安 学校 专列 一站 直达 安排 专属 爱心 大巴 送 学生 前往 高铁 站 \u200b']"
15,53,15_快手_加油_微博_视频,"['快手', '加油', '微博', '视频', '李伟', '虎首', '电视台', '官方', '传承', '878']","['西安 非 遗笼 雕 传承 创作 虎首 助力 西安 抗疫 西安 非遗 保护 协会 笼雕 传承 陈曦元 创作 作品 虎首 秦岭 山中 野生 桃核 这枚 作品 老虎 威严 阐释 希望 2022 年里 虎虎生威 共战 疫情 西安 加油 长安 加油 L 西安 电视台 官方 微博 微博 视频 \u200b \u200b \u200b 许愿 2022 活动 陕西 发布 \u200b', '西安 非 遗笼 雕 传承 创作 虎首 助力 西安 抗疫 西安 非遗 保护 协会 笼雕 传承 陈曦元 创作 作品 虎首 秦岭 山中 野生 桃核 这枚 作品 老虎 威严 阐释 希望 2022 年里 虎虎生威 共战 疫情 西安 加油 长安 加油 L 西安 电视台 官方 微博 微博 视频 \u200b', '西安 非 遗笼 雕 传承 创作 虎首 助力 西安 抗疫 西安 非遗 保护 协会 笼雕 传承 陈曦元 创作 作品 虎首 秦岭 山中 野生 桃核 这枚 作品 老虎 威严 阐释 希望 2022 年里 虎虎生威 共战 疫情 西安 加油 长安 加油 L 西安 电视台 官方 微博 微博 视频 \u200b']"
16,52,16_家园_我护_a6xf105q_温暖,"['家园', '我护', 'a6xf105q', '温暖', 'http', 'cn', '救助', '捐款', '成功', '中华']","['换 我护 长安 爱 前行 路上 温暖 家园 助力 陕西 抗击 疫情 项目 捐款 成功 中华 救助 http t cn A6xF105q \u200b', '换 我护 长安 爱 前行 路上 温暖 家园 助力 陕西 抗击 疫情 项目 捐款 成功 中华 救助 http t cn A6xF105q \u200b', '换 我护 长安 爱 前行 路上 温暖 家园 助力 陕西 抗击 疫情 项目 捐款 成功 中华 救助 http t cn A6xF105q \u200b']"
17,51,17_台网_分在_测定_东经,"['台网', '分在', '测定', '东经', '北纬', '正式', '101', '千米', '37', '01']","['地震 快讯 中国 地震 台网 正式 测定 01 月 10 日 15 时 21 分在 青海 海北 州 门源 县 北纬 37.76 度 东经 101.42 度 发生 3.2 级 地震 震源 深度 10 千米 中国 地震 台网 \u200b \u200b \u200b', '地震 快讯 中国 地震 台网 正式 测定 01 月 10 日 15 时 21 分在 青海 海北 州 门源 县 北纬 37.76 度 东经 101.42 度 发生 3.2 级 地震 震源 深度 10 千米 中国 地震 台网 \u200b', '地震 快讯 中国 地震 台网 正式 测定 01 月 10 日 15 时 21 分在 青海 海北 州 门源 县 北纬 37.76 度 东经 101.42 度 发生 3.2 级 地震 震源 深度 10 千米 中国 地震 台网 \u200b \u200b \u200b']"
18,50,18_初步_苦战_排除_天未,"['初步', '苦战', '排除', '天未', '局面', '多发', '天津市', '总攻', '社会', '几天']","['陕西 疫情 防控 推进 社会 面 清零 总攻 阶段 2022 年 月 日 下午 陕西省 人民政府 新闻 办公室 陕西省 新冠 肺炎 疫情 防控 工作 新闻 发布会 记者 发布会 获悉 连续 几天 苦战 高校 疫情 聚集 性 爆发 风险 初步 排除 连续 天未 校园 确诊 病例 城中村 社会 面 多发 局面 初步 控制 \u200b', '陕西 疫情 防控 推进 社会 面 清零 总攻 阶段 2022 年 月 日 下午 陕西省 人民政府 新闻 办公室 陕西省 新冠 肺炎 疫情 防控 工作 新闻 发布会 记者 发布会 获悉 连续 几天 苦战 高校 疫情 聚集 性 爆发 风险 初步 排除 连续 天未 校园 确诊 病例 城中村 社会 面 多发 局面 初步 控制 \u200b', '陕西 疫情 防控 推进 社会 面 清零 总攻 阶段 2022 年 月 日 下午 陕西省 人民政府 新闻 办公室 陕西省 新冠 肺炎 疫情 防控 工作 新闻 发布会 西安 城中村 社会 面 多发 局面 初步 控制 记者 发布会 获悉 连续 几天 苦战 高校 疫情 聚集 性 爆发 风险 初步 排除 连续 天未 校园 确诊 病例 \u200b']"
19,49,19_管控_划定_措施_区域,"['管控', '划定', '措施', '区域', '检出', '陵区', '隔离', '重点', '落实', '控区']","['西安 类 重点 区域 检出 病例 均 划定 封 控区 月 日 记者 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 43 场 自然村 组 城中村 学校 医疗机构 农贸市场 物流 快递 园区 类 重点 区域 检出 病例 区域 均 划定 封 控区 重点 区域 街道 乡镇 划 管控 区 管控 措施 \u200b', '西安 类 重点 区域 检出 病例 均 划定 封 控区 月 日 记者 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 43 场 自然村 组 城中村 学校 医疗机构 农贸市场 物流 快递 园区 类 重点 区域 检出 病例 区域 均 划定 封 控区 重点 区域 街道 乡镇 划 管控 区 管控 措施 \u200b', '西安 类 重点 区域 检出 病例 均 划定 封 控区 月 日 记者 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 43 场 自然村 组 城中村 学校 医疗机构 农贸市场 物流 快递 园区 类 重点 区域 检出 病例 区域 均 划定 封 控区 重点 区域 街道 乡镇 划 管控 区 管控 措施 \u200b']"
20,48,20_宁夏_银川_枸杞_羊肉,"['宁夏', '银川', '枸杞', '羊肉', '120', '悬挂', '大米', '标语', '义不容辞', '农产品']","['共克 时艰 银川 西安 捐助 羊肉 枸杞 120 吨 月 日 下午 辆 悬挂 爱心 标语 满载 抗疫 物资 货车 宁夏 银川 驶向 陕西 西安 西安 发生 疫情 银川 部门 筹集 宁夏 羊肉 宁夏 大米 宁夏 枸杞 120 余吨 优质 农产品 急需 物资 西安 战胜 疫情 义不容辞 \u200b', '共克 时艰 银川 西安 捐助 羊肉 枸杞 120 吨 月 日 下午 辆 悬挂 爱心 标语 满载 抗疫 物资 货车 宁夏 银川 驶向 陕西 西安 西安 发生 疫情 银川 部门 筹集 宁夏 羊肉 宁夏 大米 宁夏 枸杞 120 余吨 优质 农产品 急需 物资 西安 战胜 疫情 义不容辞 \u200b', '共克 时艰 银川 西安 捐助 羊肉 枸杞 120 吨 月 日 下午 辆 悬挂 爱心 标语 满载 抗疫 物资 货车 宁夏 银川 驶向 陕西 西安 西安 发生 疫情 银川 部门 筹集 宁夏 羊肉 宁夏 大米 宁夏 枸杞 120 余吨 优质 农产品 急需 物资 西安 战胜 疫情 义不容辞 \u200b']"
21,47,21_许昌市_禹州市_地区_高风险,"['许昌市', '禹州市', '地区', '高风险', '河南省', '等级', '风险', '全国', '浙江省', '涉及']","['疫情 防控 全国 疫情 中 高风险 地区 信息 汇总 月 12 日 截止 2022 年 月 12 日 10 时 全国 共有 高风险 地区 20 陕西省 西安市 河南省 许昌市 禹州市 12 安阳 天津市 中 风险 地区 77 陕西省 西安市 41 延安市 浙江省 宁波市 金华市 河南省 洛阳市 许昌市 禹州市 郑 \u200b', '最新 风险 等级 提醒 2022 年 月 日 20 时 月 日 20 时 全国 各县区 疫情 风险 等级 情况 全国 现有 16 高风险 地区 涉及 陕西省 西安市 广西 防城港市 河南省 许昌市 82 中 风险 地区 涉及 陕西省 西安市 延安市 浙江省 宁波市 金华市 河南省 洛阳市 许昌市 郑州市 16 高风险 地区 陕西省 西安市 \u200b', '最新 风险 等级 提醒 2022 年 月 日 21 时 月 日 21 时 全国 各县区 疫情 风险 等级 情况 全国 现有 15 高风险 地区 涉及 陕西省 西安市 河南省 许昌市 77 中 风险 地区 涉及 陕西省 西安市 延安市 浙江省 宁波市 金华市 河南省 洛阳市 许昌市 郑州市 15 高风险 地区 陕西省 西安市 雁塔区 \u200b']"
22,47,22_高校_放寒假_教育厅_放假,"['高校', '放寒假', '教育厅', '放假', '寒假', '真的', '训练', '宿舍', '回家', '通知']","['走 西安 高校 暂 放寒假 新冠 疫情 影响 陕西 高校 调整 寒假 计划', '走 西安 高校 暂 放寒假 新冠 疫情 影响 陕西 高校 调整 寒假 计划', '西安 高校 暂 放寒假 新冠 疫情 影响 陕西 高校 调整 寒假 计划 西安市 高校 实行 校园 封闭 管理 暂 放寒假']"
23,45,23_举报中心_举报_侨联_网络,"['举报中心', '举报', '侨联', '网络', '通报', '违法', '谣言', '编造', '副处长', '查处']","['发涉 西安 疫情 谣言 中国 侨联 一副 处长 被免 月 日 中国 侨联 通报 研究 免去 宋汶洮 同志 基层 建设部 组织 处 副处长 职务 月 日 陕西省 网络 举报中心 官微 通报 近日 陕西省 网络 举报中心 接到 群众反映 社会 影响 重复 举报 内容 现将 研判 处置 情况 予以 通报 案例 微信 公众 号 \u200b', '发涉 西安 疫情 谣言 中国 侨联 一副 处长 被免 月 日 中国 侨联 通报 研究 免去 宋汶洮 同志 基层 建设部 组织 处 副处长 职务 月 日 陕西省 网络 举报中心 官微 通报 近日 陕西省 网络 举报中心 接到 群众反映 社会 影响 重复 举报 内容 现将 研判 处置 情况 予以 通报 案例 微信 公众 号 清 \u200b', '发涉 西安 疫情 谣言 中国 侨联 一副 处长 被免 月 日 中国 侨联 通报 研究 免去 宋汶洮 同志 基层 建设部 组织 处 副处长 职务 月 日 陕西省 网络 举报中心 官微 通报 近日 陕西省 网络 举报中心 接到 群众反映 社会 影响 重复 举报 内容 现将 研判 处置 情况 予以 通报 案例 微信 公众 号 清 \u200b']"
